
=== 更新时间: 2025-10-22 13:41:18 ===

移除URL:
- 🌐央视频道 - CCTV1: http://3501776.xyz:35455/gaoma/cctv1.m3u8
- 🌐央视频道 - CCTV2: http://3501776.xyz:35455/gaoma/cctv2.m3u8
- 🌐央视频道 - CCTV2: http://36.105.100.208:35455/gaoma/cctv2.m3u8
- 🌐央视频道 - CCTV3: http://36.105.100.208:35455/gaoma/cctv3.m3u8
- 电视伴音 - CCTV3: https://piccpndali.v.myalicdn.com/audio/cctv3_2.m3u8
- 🌐央视频道 - CCTV3: http://123.129.70.178:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
- 🐼电信专区 - CCTV4中文国际欧洲: http://183.11.239.36:808/hls/67/index.m3u8
- 🐼北方广电 - CCTV4HD: http://120.76.248.139/live/bfgd/4200000063.m3u8
- 央视频道 - CCTV4: http://112.46.85.60:8009/hls/4/index.m3u8
- 🌐央视频道 - CCTV4: http://111.9.163.109:9901/tsfile/live/0004_1.m3u8
- 🌐央视频道 - CCTV4: http://120.238.94.10:9901/tsfile/live/1021_1.m3u8
- 🌐央视频道 - CCTV5: http://3501776.xyz:35455/gaoma/cctv5.m3u8
- 🌐央视频道 - CCTV5+: http://36.105.100.208:35455/gaoma/cctv5p.m3u8
- 🌐央视频道 - CCTV5+: http://58.221.214.82:9901/tsfile/live/0016_1.m3u8
- 🌐央视频道 - CCTV5+: http://120.238.94.10:9901/tsfile/live/1023_1.m3u8
- 🌐央视频道 - CCTV5+: http://123.129.70.178:9901/tsfile/live/0016_1.m3u8
- 📺央视频道 - CCTV6: http://36.105.100.208:35455/gaoma/cctv6.m3u8
- 🐼联通专区 - CCTV6: http://58.17.48.228:808/hls/6/index.m3u8
- 🌐央视频道 - CCTV7: http://36.105.100.208:35455/gaoma/cctv7.m3u8
- 🍓┃央视频道 - CCTV7: http://omnix.cn:4000/udp/225.1.8.7:8104
- 🌐央视频道 - CCTV7: http://116.128.242.83:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
- 🌐央视频道 - CCTV7: http://drive.mxmy.net:8888/udp/239.3.1.61:8104
- 🌐央视频道 - CCTV8: http://36.105.100.208:35455/gaoma/cctv8k_36m.m3u8
- 🌐央视频道 - CCTV8: http://3501776.xyz:35455/gaoma/cctv8.m3u8
- 🌐央视频道 - CCTV8: http://110.7.131.79:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
- 🥎┃移动央卫 - CCTV8电视剧: http://drive.mxmy.net:8888/udp/239.3.1.175:8001
- 央视频道 - CCTV9: http://112.46.85.60:8009/hls/509/index.m3u8
- 🌐央视频道 - CCTV9: http://61.136.172.236:9901/tsfile/live/0009_1.m3u8
- 🌐央视频道 - CCTV9: http://113.25.252.226:9901/tsfile/live/0009_1.m3u8
- 🥎┃移动央卫 - CCTV9纪录: http://omnix.cn:4000/udp/225.1.8.9:8112
- 🌐央视频道 - CCTV9: http://nas.hssvm.com:8888/udp/225.1.1.119:5002
- 🌐央视频道 - CCTV10: http://116.9.204.242:9901/tsfile/live/0010_1.m3u8
- 🌐央视频道 - CCTV10: http://120.238.94.10:9901/tsfile/live/1028_1.m3u8
- 🌐央视频道 - CCTV10: http://58.221.214.82:9901/tsfile/live/0010_1.m3u8
- 🌐央视频道 - CCTV10: http://110.7.131.79:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
- 🌐央视频道 - CCTV11: http://36.105.100.208:35455/gaoma/cctv11.m3u8
- 🌐央视频道 - CCTV12: http://36.105.100.208:35455/gaoma/cctv12.m3u8
- 🌐央视频道 - CCTV12: http://3501776.xyz:35455/gaoma/cctv12.m3u8
- 🌐央视频道 - CCTV12: http://nas.hssvm.com:8888/udp/225.1.1.142:5002
- 🌐央视频道 - CCTV12: http://116.128.242.83:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
- 🌐央视频道 - CCTV13: http://36.105.100.208:35455/gaoma/cctv13.m3u8
- 🥎┃移动央卫 - CCTV14少儿: https://event.pull.hebtv.com/jishi/cp2.m3u8
- 🌐央视频道 - CCTV14: http://36.105.100.208:35455/gaoma/cctv14.m3u8
- 🌐央视频道 - CCTV14: http://3501776.xyz:35455/gaoma/cctv14.m3u8
- 🌐央视频道 - CCTV14: http://58.19.43.46:9901/tsfile/live/1033_1.m3u8
- 🌐央视频道 - CCTV14: http://113.25.252.226:9901/tsfile/live/0014_1.m3u8
- 🥎┃移动央卫 - CCTV15音乐: http://drive.mxmy.net:8888/udp/239.3.1.153:8136
- 🌐央视频道 - CCTV15: http://61.138.128.226:19901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
- 🌐央视频道 - CCTV15: http://61.136.172.236:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
- 🌐央视频道 - CCTV15: http://nas.hssvm.com:8888/udp/225.1.1.26:5002
- 🌐央视频道 - CCTV16: http://36.105.100.208:35455/gaoma/cctv16.m3u8
- 🌐央视频道 - CCTV16: http://58.221.214.82:9901/tsfile/live/0002_2.m3u8
- 🌐央视频道 - CCTV17: http://36.105.100.208:35455/gaoma/cctv17.m3u8
- 🌐央视频道 - CCTV17: http://58.221.214.82:9901/tsfile/live/0003_2.m3u8
- 🌐央视频道 - CCTV17: http://58.19.43.46:9901/tsfile/live/1047_1.m3u8
- 央视频道 - CGTN: http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
- 央视频道 - CGTN俄语: https://0472.org/hls/cgtne.m3u8
- 央视频道 - CGTN俄语: http://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd.m3u8
- 央视频道 - CGTN法语: https://0472.org/hls/cgtnf.m3u8
- 央视频道 - CGTN法语: http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8
- 央视频道 - CGTN纪录: https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
- 央视频道 - CGTN西语: https://0472.org/hls/cgtnx.m3u8
- 央视频道 - CGTN阿语: https://0472.org/hls/cgtna.m3u8
- 🐧┃卫视频道 - 安徽卫视: http://dsj.motem.top:8880/bptv/10000100000000050000000003873469.m3u8
